# lambda(AA) flux_nu eflux_nu
# magzp = 31.4
52276.33 -24.353 92.541
52352.52 -17.214 93.912
52428.57 319.298 88.410
52504.51 452.335 91.430
52580.31 32.993 96.001
52660.56 112.093 93.151
52736.12 140.217 92.070
52811.56 54.332 93.362
52886.88 204.868 96.186
52962.08 67.822 128.881
53037.16 77.876 806.556
53112.12 nan nan
53186.96 nan nan
53261.69 nan nan
53336.30 nan nan
53410.79 nan nan
53485.16 nan nan
53559.42 nan nan
53633.57 nan nan
53707.60 nan nan
